date,user,text
2021-04-30 15:22:48,oge_xam,"@JoeBiden Lying again. 
Digging a Grave for the republic. With a stolen shovel. https://t.co/bCR3bqYBXi"
2021-04-30 15:21:20,SarahGlover6555,@JoeBiden 😍
2021-04-30 15:20:31,clvudii84690954,@JoeBiden yay!!!
2021-04-30 15:18:58,SFord91711143,@JoeBiden I don't know what makes you think America is getting back on track but from my my view it's not my car got repossessed I'm in an apartment that they're going to evict me out of I'm living on $185 a week what the f*** are you talkin about America is not back on track
2021-04-30 15:18:51,tyson_pugh,@JoeBiden https://t.co/Bn8G2Ps3xM
2021-04-30 15:17:55,tyson_pugh,@JoeBiden https://t.co/llxmGxg3eg
2021-04-30 15:16:57,clairewest99,@JoeBiden Yes king you tell them 🛐
2021-04-30 15:16:47,TeufelHundenDog,"@JoeBiden Not really.  You may be steering the country towards the left, which makes the Democrats think the countries on track. But there is a large segment of the country that is not happy with your decisions. Including people who voted for you."
2021-04-30 15:16:31,kill_mya,@JoeBiden are you going to help out the poc (black people mostly) now? the peoole want ti know joe :/
2021-04-30 15:16:29,robertfwhitejr1,@JoeBiden Thank Goodness
2021-04-30 15:15:20,LoriMar97395165,@JoeBiden Thank you my PRESIDENT💝👏👏👏😄
2021-04-30 15:12:31,marycart18,@JoeBiden I must say you've done a great job Biden
2021-04-30 15:12:21,Gary21561038,@JoeBiden Your doing an amazing job president Obama https://t.co/QS0zyoreUs
2021-04-30 15:07:26,MohamedIrfanZu1,@JoeBiden Great leader
2021-04-30 15:05:04,Bhushan68781846,@JoeBiden India need helps
2021-04-30 15:04:16,FogWny,@JoeBiden What track
2021-04-30 15:02:53,WieslawaYska,"@JoeBiden Thanks Mr. President and the great team you’ve assembled.
It’s a relief to wake up in the morning since the American people elected you to clean up the mess that was left behind.
Stay strong and true."
2021-04-30 15:02:13,YxavierJ,@JoeBiden I'm... Not an American
2021-04-30 15:02:06,JoannDA41072221,@JoeBiden Good afternoon Mr president keep up the good work sir have a beautiful day much 💕💕💕💕💕
2021-04-30 15:01:48,badusha_faisal,@JoeBiden People believe your government 👍👍
2021-04-30 15:00:38,JoannDA41072221,@JoeBiden There is Racism in this country  Look what's happening with voter rights in  All   43 States trying to Stop   black Brown people from voting  constitutional right As Americans  In 1952 There was something done to the filibuster So we the people could vote
2021-04-30 14:59:35,bKi6WZhaN4Dytqe,"@JoeBiden why you @TravelGov didn't schedule #DV2021 consular interviews for May? This is a huge disappointment for tens of thousands of DV immigrants. #DV2021 don't have much time left! 
#DV2021 #KCC_Not_Working"
2021-04-30 14:59:21,DrYogeshBorade1,@JoeBiden #ResignModi
2021-04-30 14:58:24,squishypitties,"@JoeBiden Someone tell me exactly how were back on track?
Literally anything. 
I'll wait."
2021-04-30 14:57:53,squishypitties,"@JoeBiden Yet we're 6 years back as we stand now. 
Gas Is up to obama levels, leaving the middle east in shambles (again. Just waiting for the new isis) and china is fucking around. 
Tell me again how were ""back on track"" for anything?"
2021-04-30 14:57:31,KiddDynamite604,@JoeBiden Lmao
2021-04-30 14:56:48,moto371ek,@JoeBiden Are you kidding!!! You are destroying America!
2021-04-30 14:56:32,speederz1,"@JoeBiden GM Will Build EVs In Mexico, UAW Calls It 'A Slap In The Face'  KEEP IT IN USA!!!!!!!!!!!

The United Auto Workers union is none too pleased with General Motors’s big investment in a Mexican plant"
2021-04-30 14:54:47,amit2506,@JoeBiden Great Going Sir Jee.
2021-04-30 14:52:44,MedNaji91754734,@JoeBiden Congratulations 100 days
2021-04-30 14:52:00,NadeshMengwi,@JoeBiden America is stagnant
2021-04-30 14:48:29,AshVamphyrDemon,"@JoeBiden #DecolonizePuertoRicoNow
#EndTheEmbargoOnCuba
#FreePuertoRicoAndCuba"
2021-04-30 14:47:15,SBuhsman,@JoeBiden The American people are still suffering. We need a monthly stimulus.
2021-04-30 14:47:03,etrkm07,"@JoeBiden Look at your own history
15 Mion Indians
* 4 million in Vietnam
* 3 Million Koreans
* 1 Million Cambodia and Laosta
* 1.5 Million in Afaganistan
* 1 million in Iraq
* 350 thousand in Hiroshima and Nagasaki

#LookForGenocideOnYourMindUSA 
#StopArmenianLies
#1915ArmenianLies"
2021-04-30 14:46:52,brendon_kessler,@JoeBiden Can you get the gas prices lower already pls 😂
2021-04-30 14:43:04,aidaspuskorius,"@JoeBiden thank you, Mr. President!"
2021-04-30 14:42:42,krazzymf,@JoeBiden More like derailed !
2021-04-30 14:42:10,AaronHe04284870,@JoeBiden I want less  Government in my life not more that's what Joe binden and the Democrat party wants
2021-04-30 14:41:45,HUSBodhicon,"@JoeBiden If necessary, do consider changing the political and election system or whatever else it takes to never let anybody distroy again the greatness of the american spirit as it is brought back to where it belongs as a constant, to the role of the President, as Joe Biden represents it"
2021-04-30 14:41:34,kenchriet1,@JoeBiden Keep it up POTUS!
2021-04-30 14:37:24,KevinDa25223605,@JoeBiden I like your hair. It looks soft and lovely
2021-04-30 14:36:04,George93358556,@JoeBiden What track? The truck to socialism. No thanks.
2021-04-30 14:35:01,Bidenharrisrah1,@JoeBiden And it had NOTHING to do with you!
2021-04-30 14:33:39,KernsZechariah,@JoeBiden Back on track to become a commie country
2021-04-30 14:32:58,serol001,"@JoeBiden 2. Anatolia is not rich enough to meet the needs of the USA in terms of its origin.
3. Those struggling in Anatolia are firmly determined about their work."
2021-04-30 14:32:33,serol001,"@JoeBiden Please read the facts.
General James G. Harbord, 29-page report dated 16 October 1919 to President Wilson;
To sum up,
1. The allegation about the Armenians that they were massacred (genocide) is not true."
2021-04-30 14:32:28,GretchenEisenh4,"@JoeBiden Congratulations Mr. President, you’re going to be the transitional president that will make all the haters stand at attention."
2021-04-30 14:32:25,emijoan,@JoeBiden ¯\_(ツ)_/¯
2021-04-30 14:31:04,danarene9,@JoeBiden @MitchellMeeks11 ❤️
2021-04-30 14:30:24,Pe_1801,@JoeBiden 🤣🤣🤣
2021-04-30 14:30:16,rajmohanb2,@JoeBiden Well done sir
2021-04-30 14:28:50,Ann70712291,@JoeBiden You must be so proud Joe https://t.co/AYk1yMdjJK
2021-04-30 14:28:43,lawrencebing,@JoeBiden I sure sir with ur words .. because u live ur country and people ..god bless and more power to u sir
2021-04-30 14:28:39,DavidAl32370720,@JoeBiden And you claim that!? Ha you’re a joke!
2021-04-30 14:28:39,BrotherDolma,"@JoeBiden Mr. President, if the multiple variants of covid-19 virus are brought to USA, the current vaccines (Pfizer, Moderna...) will not work and US will suffer more! Please follow your guts and do the right things! You know what is right! God Bless you! God bless USA! God bless all!"
2021-04-30 14:27:34,ArBavy,@JoeBiden don’t care arrest KEN GRIFFIN CITADEL
2021-04-30 14:27:33,blueeyebrittox,@JoeBiden That’s why I voted for you.
2021-04-30 14:22:36,RPatcast,@JoeBiden https://t.co/IEAy1JsPGr
2021-04-30 14:22:27,cGxv3qG81I9pYzC,"@JoeBiden The United States has been on the right track for twenty years Who has brought himself all over Afghanistan and is now leaving

￼"
2021-04-30 14:22:17,JohnTRich71,@JoeBiden Back on track? You’re in the brink of creating hyper-inflation. You’re bragging about a vaccine that you said wouldn’t be ready until the middle of this year. You’re not keeping your promise to be President for all of the people. Can you tell me one useful thing that you’ve done?
2021-04-30 14:21:23,shibust,"@JoeBiden Illegetimate President Biden is telling the truth this time.....America is back on the track to Nunber 2 , making China great again. As long as Trump is the President, China will never outperform the United states. Biden wants to destroy the American economy with tax hikes."
2021-04-30 14:20:27,SalimBi87346413,@JoeBiden Great job Man!
2021-04-30 14:19:06,IxidorsDreams,@JoeBiden You only represent the wealthy you don’t represent me
2021-04-30 14:18:20,JamieDoak8,"@JoeBiden The best is yet to happen but with your guidance and hard work, it is coming on the way. Keep up all the good work, Mr. President!"
2021-04-30 14:15:11,ToddDickson17,@JoeBiden Hahahababababa!!!!!
2021-04-30 14:12:23,EdwardM54206106,@JoeBiden 🙏🏾
2021-04-30 14:10:15,Randy10501290,@JoeBiden It’s been getting on track prior to your 100 days. Thx for leading by executive order.
2021-04-30 14:09:32,shae73132954,"@JoeBiden The whole country is spiraling downward. Riots, immigration crisis, children not in school, abortions, increased murder rates , attacks on our police and security and the list goes on. Resembles the fall of the Roman Empire.  But you are making China happy Joe!"
2021-04-30 14:09:29,sheds2008,"@JoeBiden Not really, the rabid dog left media mobs just changed their divisive narrative a bit to make it seem like it’s better, you just throw a trillion dollars at everything, zero strategy involved. The chaos at the border being drastically downplayed by your cartel, it’s all media’s.."
2021-04-30 14:08:43,neverocd,@JoeBiden Mr president how many people's dead by 🔫 shot of this 100 days passed in the United States of America
2021-04-30 14:08:28,TaylorV15532515,@JoeBiden That’s a fucking joke.
2021-04-30 14:08:15,WonkyBugger,"@JoeBiden And you still can't remeber shit..
#senile https://t.co/Yjn3XPeo0h"
2021-04-30 14:07:51,Ammongguss,@JoeBiden Back on track to failure!
2021-04-30 14:06:59,oldvcardigan,@JoeBiden https://t.co/cCq6w5S9Zb
2021-04-30 14:06:54,hnav,@JoeBiden Please vaccinate kids
2021-04-30 14:06:35,IllegalThought1,@JoeBiden @JoeBiden If you think after that Asian hate bill passed and you don't get any legislation done for African Americans I hope you know you will be one term president.
2021-04-30 14:06:07,spacemancruiser,@JoeBiden Biden people call him Uncle TIM.. SCUM Democrats call him all kinds of racist names. OH but thats ok Biden.
2021-04-30 14:05:11,sdretired,"@JoeBiden As long as you’re on a spending spree....consider something both Democrats and Republicans could support....PAY BACK THE IOU TO THE SOCIAL SECURITY FUND!!! For that, many would be grateful regardless of political affiliation."
2021-04-30 14:03:35,dylan_krug,@JoeBiden Thank You Sir!
2021-04-30 14:03:16,godbless2356,"@JoeBiden I suppose for you, thing are back on track. Filling your wallet with kickbacks."
2021-04-30 14:02:30,HATICEY73612521,@JoeBiden the uygur turks (kaan) will get be freed. damned china and so on. the next power is not china: IT IS TÜRKIYE
2021-04-30 14:02:12,jono597,@JoeBiden ... toward destruction
2021-04-30 14:01:32,prmaurojoel,@JoeBiden Jesus Loves you president Joe! Apocalypse 1:7 https://t.co/ejlJRER2ft
2021-04-30 14:00:19,HATICEY73612521,"@JoeBiden if any president tell any lie about the turks(genocide), then the turks f*cks him"
2021-04-30 13:59:08,fecksea,@JoeBiden You've done literally nothing.
2021-04-30 13:59:07,LindaSo95125505,@JoeBiden 👍 THANK YOU MR. PRESIDENT!! 😁😊🥰
2021-04-30 13:57:44,sumadi23,@JoeBiden Great job! We support from Indonesia People.
2021-04-30 13:56:56,Meeszs,"@JoeBiden With you @JoeBiden as our Amtrak!
We love you!"
2021-04-30 13:53:12,Tweets62994064,@JoeBiden American Heartbeat....
2021-04-30 13:52:04,AlanWel01821739,@JoeBiden Nope
2021-04-30 13:51:50,danchefoundati1,@JoeBiden Yes America is getting back for real God bless America
2021-04-30 13:51:50,DonikTrump,@JoeBiden Yeah. Down the hill and very fast. Did you manage the border yet?
2021-04-30 13:51:15,joshyourcarguy,@JoeBiden https://t.co/VZPb0Uejoe
2021-04-30 13:50:15,soup83532692,"@JoeBiden #StudentsNotThieves 
Proclamation 10043 is excessively sweeping, hurting innocent students. Students have nothing to do with MCF shouldn’t be the victims. #STOP10043"
2021-04-30 13:50:02,Raajalingam5,@JoeBiden Hearty wishes for more success dear President
2021-04-30 13:49:32,monty_marcy,@JoeBiden Not because of you!
2021-04-30 13:48:21,EastALife,@JoeBiden America. The only country on earth that voted for a man suffering from Dementia
2021-04-30 13:47:21,BillWannamaker,@JoeBiden Getting back on track for Socialism..! Thanks to you and progressive democrats. https://t.co/8nLHzZtNeX
2021-04-30 13:47:03,MartinPersen,@JoeBiden nice
2021-04-30 13:46:32,KungFlu12,@JoeBiden Buffoon
2021-04-30 13:45:59,SkylarHolland8,@JoeBiden How
2021-04-30 13:45:20,madbiteywolff1,"@JoeBiden Do you have any comment on the laws being passed that actively hurt trans people? 

https://t.co/rTt2Wf7fcN"
2021-04-30 13:45:00,Ohtommy93_,@JoeBiden wishing all the best and that they return to normal
2021-04-30 13:44:56,Mpagainsthate,@JoeBiden Biden SEC is allowing HF to run counterfeit stocks and doing nothing about it! Enough is Enough if we went to a store with a counterfeit bill we would be arrested or worse Killed! We seen that before live tv! Why is no one stopping this their intentions are killing companies. Why
2021-04-30 13:43:55,NatnaelMillion5,"@JoeBiden GOOD, BUT while yoi are doing good for America. Donot intervene  on country's Sovereignty. Leave Ethiopoa alone. Ethiopia as nation has a right to use her resource efficiently. Leave us alone. If you can help us, if not stay aside!!!"
2021-04-30 13:42:59,jd_adler,@JoeBiden https://t.co/hlDW0wuakr
2021-04-30 13:41:55,Jaw67894815,@JoeBiden secure and established..  Everyday goals here. Good work
2021-04-30 13:41:34,kag9j,@JoeBiden Try getting the IRS on track first!!!
2021-04-30 13:41:23,Whoknowssuchth1,"@JoeBiden RHETORIC IS THE ART OF RULING THE MINDS OF MEN 
WHILE PATTING YOUR OWN BACK
ITS HARDER TO HEAR THE WAR
DRUMS BEATING LOUDER &amp;
LOUDER BUT A FOOL'S HEART
ALWAYS SEEKS TO DISCOVER 
ITSELF 
HENCE SWEET WATER DOESNT 
COME FROM BITTER SPRINGS"
2021-04-30 13:39:27,Armand0Izq,@JoeBiden https://t.co/8tXVtHNarJ
2021-04-30 13:38:45,LDewilliams,"@JoeBiden Way to go, Mr President!"
2021-04-30 13:38:38,WellTaozhan,@JoeBiden Stop flight from India!
2021-04-30 13:38:19,siegsander,"@JoeBiden No thanks to our Presidents., past or present. America works, as long as each American has the freedom to chose what is best for them. We don't need or want Big Brother telling us how to live."
2021-04-30 13:37:23,JuanaAllen46,"@JoeBiden Thanks so much for everything you do, Mr President!! We love you!!"
2021-04-30 13:37:20,BradleyBaumkir1,@JoeBiden 🤛🏻❤️🤛🏻❤️🤛🏻❤️🙏
2021-04-30 13:36:25,hawao_ki_mahek,@JoeBiden Fuck u fascist merciless
2021-04-30 13:34:13,SelinaGlover8,@JoeBiden It will not get back on track if you still allow Indian airlines come to America. Mutated COVID-19 will destroy America again.
2021-04-30 13:31:11,gak74750508,@JoeBiden They were never off track your just dreaming you have done nothing but waste my tax dollars.
2021-04-30 13:28:52,hashtagpounds,@JoeBiden #impeach46
2021-04-30 13:28:49,vikashusa,@JoeBiden My whole family prayed/voted for you for the last time. You are just another politician with crocodile tears. People are dying in India and you are doing nothing. Vaccine that is not FDA approved in 2 MO. Send enough oxygen. KIds are dying. Shame on you.
2021-04-30 13:28:09,ElianaInocenci1,@JoeBiden Nosso Presidente
2021-04-30 13:28:02,JuanPad00716415,@JoeBiden How about me in going from house to house leaving in the streets here whiting on my taxes in don't no what to do can somebody help me please
2021-04-30 13:27:58,Sandra56997845,@JoeBiden Wow.... let's continue to enjoy the good governance
2021-04-30 13:27:31,cleanfreak5315,@JoeBiden Thank you President Biden! For putting our country first!
2021-04-30 13:27:27,FreedomOfFact,"@JoeBiden Mr. President, my daughter is turning 3 tomorrow. She's already in preschool and the best we can afford that runs us $800 a month. We make sacrifices to provide the best education we can afford for our daughter. Your American Families plan will give her the head start she needs."
2021-04-30 13:26:17,jimpughcaa,@JoeBiden I work hard and because of that earn an upper class salary in California... 40% bracket... What about my tax bracket? Im being punished for working hard and having a good job..
2021-04-30 13:26:14,DrakelyKaren,"@JoeBiden No Joe, we’re far from on track!!!!  Why are you avoiding the border crisis! 
BTW-Every American citizen are “We the people “ not the government!!!!! 
God bless America 🇺🇸✝️🙏🏻and God Bless President Trump🇺🇸✝️"
2021-04-30 13:24:46,rahulAg64734187,@JoeBiden Sir our PM IS UNABLE TO HELP US PLEASE HELP INDIA
2021-04-30 13:24:11,Dan91121373,@JoeBiden America was on track before the pandemic. He will be able to do anything they can even come close to trumps success. In fact you’re bored or crisis is far worse now than the one you created with Obama
2021-04-30 13:22:18,JoeRicanMarscal,@JoeBiden https://t.co/np3YrtNBLX
2021-04-30 13:22:16,JustinaOnesmo,@JoeBiden Congratulations sir
2021-04-30 13:21:40,LARRY_MCMURTRY1,@JoeBiden https://t.co/gonKGdVUEn
2021-04-30 13:21:36,MYarelis3,"@JoeBiden for a total of 4,000 in stimulus and 6,195 in taxes Good morning and blessings, I contact the IRS they all tell me something different, they cut me off They do not provide me with enough information please I am in a horrible situation and I need that money"
2021-04-30 13:21:11,MYarelis3,"@JoeBiden Good morning greetings, Due to the pandemic I lost my job, my house, many situations and although I know that it is not a situation of much interest compared to other things. Please do I need my taxes or the two stimuli that I have not yet received the $ 600 and the 1,400"
2021-04-30 13:18:54,jayxmilar,@JoeBiden You mean America has fallen of the track
2021-04-30 13:18:45,Smiley23747429,@JoeBiden america was on track until you got shoved down our throats via a fraud election. You stole an election
2021-04-30 13:17:51,sni52,@JoeBiden First time on your Twitter site you're doing a great job just keep it up and we'll all be Americans in the future
2021-04-30 13:17:33,TimYounger4,@JoeBiden Great job Presidant B. Keep up the good work.
2021-04-30 13:16:53,Ladybugfrog1,"@JoeBiden Thank you Sir! And you're doing it with integrity,  respect and humility! It's an honor having you as President!!"
2021-04-30 13:16:52,WolfieTapperFox,@JoeBiden Thank you President Trump!
2021-04-30 13:15:39,Yordanosberhe1,@JoeBiden Tigraygenocide
2021-04-30 13:11:38,john38766220,@JoeBiden More and more illegal hard drugs are coming into our country putting our children at high risk because of open boarders.
2021-04-30 13:11:30,SarahGOVols,@JoeBiden Getting back on track!! 😱The radical left is why I voted for someone like Donald Trump!  I hope someone rises to run for President like Tim Scott!
2021-04-30 13:10:50,10chanii,"@JoeBiden Proud of your leadership, Mr. President!"
2021-04-30 13:10:18,carprolos,@JoeBiden 🖕🏽
2021-04-30 13:08:56,john38766220,"@JoeBiden The Framers never intended for Government to run the people. The people should be running the government through our elected officials, chosen by the people for the people.  This is socialism at core.  Next they’ll be telling when you can go to the bathroom"
2021-04-30 13:08:00,TobiRoderick,@JoeBiden Thank you for fixing everything
2021-04-30 13:07:40,auglulove,@JoeBiden Who told you that??
2021-04-30 13:07:15,tondrob,@JoeBiden 😂😂😂😂😂😂😂😂😂😂
2021-04-30 13:07:12,adambrand7,@JoeBiden https://t.co/27bTACSJ1I
2021-04-30 13:04:35,EricBuford20,@JoeBiden Good Job Sir
2021-04-30 13:02:54,WilfredrlR,@JoeBiden You helped save lives you should get the medal of freedom
2021-04-30 13:02:11,KeilaSurez7,"@JoeBiden @StateDept it's time to sincerely help immigrants. #DV2021 immigrants urge you to take rapid actions to save their American dream. It's time for some action, prove it!! Words don't matter now, actions do.
#DV2021 #KCC_Not_Working
@USEmbassyCairo @USAinKSA
@EmbassyGuyana"
2021-04-30 13:01:53,WorkJamine,@JoeBiden Hi
2021-04-30 13:00:45,Charles53942747,@JoeBiden You are kidding me right ? You have run this us into the ground . Please quit patting yourself on the back and why don’t you go live on the Arizona border and see what really happening . Sorry but you’ve gone to far left for me . Prayers for America . We need God ! To take over
2021-04-30 12:57:13,CPRigal57,@JoeBiden https://t.co/6tbrqIb8QS
2021-04-30 12:56:50,slipkkn0t,@JoeBiden leave my bluntvilles alone 😩😩😩 PLEASE JOE
2021-04-30 12:55:47,AkashTrueIndian,@JoeBiden कुछ भी बायडेन!!
2021-04-30 12:55:11,shaunfitz49er,"@JoeBiden Politicians and their drugs, man I want something that makes me delusional to"
2021-04-30 12:54:59,FangitaHeeri,@JoeBiden Thanks Mr Biden from Pakistan. Thanks to you I can finally transition fully . It's being removed in a fortnight
2021-04-30 12:52:35,rartesegtr,@JoeBiden This forth of July America will celebrate dependence day! Congrats assholes!
2021-04-30 12:52:28,MohdAskar3,@JoeBiden @narendramodi #Resign_PM_Modi
2021-04-30 12:49:52,IslamEljammal,"@JoeBiden DV immigrants thought that President Biden will move forward with a swift reversal of Trump-era anti-immigration policies. 

Sadly, the #DV2021 program status is much worse than we thought. 

#KCC_Not_Working #DV2021winners 

#SaveDiversityVisa #USEmbassycairo"
2021-04-30 12:49:51,Scoops2876,"@JoeBiden For a disaster.  Shortages, inflation. People not working because they don’t have to pay rent, utilities and draw more money to sit at home.  Pockets full of money to buy but not working to make anything.  DISASTER coming"
2021-04-30 12:49:08,MarshallMarrio1,@JoeBiden Are we though? Are we really? 🤔🤔
2021-04-30 12:48:56,linnie_finnegan,"@JoeBiden I am so very proud of the accomplishments you are helping us make.  You, Kamala, the American people are a great match!  Thank you!"
2021-04-30 12:47:47,darkmugo,@JoeBiden The 🌍 respects you for that.
2021-04-30 12:45:40,JERRYPA87761931,@JoeBiden ON TRACK FOR DISASTER
2021-04-30 12:44:57,Debja0910Deb,@JoeBiden Thank you for saving the Taxpayers 11.4 million so far. By NOT GOLFING!
2021-04-30 12:43:14,utrejapuneet,"@JoeBiden Sir, please help India with medical infrastructure. Request"
2021-04-30 12:42:59,S_Nathan_Pierce,@JoeBiden 😂 in what way exactly. Please be specific.
2021-04-30 12:41:26,suvdantsetseg3,@JoeBiden Thank you JoeBiden.Your so BEST.
2021-04-30 12:39:54,DuckLUCK20,"@JoeBiden Is this a joke? As a Democrat who's voted Democrat my entire life, this new agenda democrats are creating racism and completely destroying the country. What is normal about dictatorship?"
2021-04-30 12:39:47,JoeOz11,"@JoeBiden @SpeakerPelosi @SenSchumer @VP @POTUS @BernieSanders @SenatorDurbin @ossoff @SenWarren

#ManchinAndSinemaAreTraitors #JLVotingRightsAct #DestroyFilibuster #PassHR1 #SaveUSPS #GOPTraitors #January6thProsecuteCommission 

@Sen_JoeManchin - 202-224-3954
@SenatorSinema - 202-224-4521"
